Prey,Classification,Class,Order (Suborder),Family,Genus,Species,Successful Predation,Predator Size,DOI,Observer,Location,State,Biogeographic zone,Latitude,Longitude,Source,Notes,Link
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,-,L,U,Ravi Ramaswamy,"Jannapura, KA",KA,Western Ghats,14.0746,75.8228,iNaturalist,,https://www.inaturalist.org/observations/71928137
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,Y,L,HF,Tauseef Ahmed,-,-,-,-,-,pers. comm.,,https://drive.google.com/file/d/1xcXbkqcAGCMpNZ8nSHP9XX6fZvk0c0wp/view?usp=sharing
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,Y,L,TF,Unknown,-,-,-,-,-,Whatsapp,,
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,Y,M,HF,Vasanthi K Samethadka,-,KA,-,-,-,Facebook,,https://www.facebook.com/Vasanthisamethadka/posts/1242693372586903
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,Y,M,HF,Veeraj Kamath,"Rabale, Navi Mumbai, MH",MH,Coast,19.146332,73.008058,Facebook,,https://www.facebook.com/groups/SnakesofIndia/permalink/5303611799664836
Pteropus giganteus,Mammalia,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,N,M,HF,Mirza et al. 2007,"Mumbai, MH",MH,Coast,19.07609,72.877426,Literature,,
Ptyas mucosa,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Ptyas,mucosa,,L,HF,Mayur Nakhva,"Jamnagar, GJ",GJ,Semi-Arid,22.44542,70.068178,Facebook,,https://www.facebook.com/groups/SnakesofIndia/permalink/5544099352282745/
Ptyas mucosa,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Ptyas,mucosa,Y,L,HF,Pradeep Nair,"Mundaya, KL",KL,Western Ghats,10.7676064,76.2652909,Facebook,,https://m.facebook.com/groups/188686834965434?view=permalink&id=880907782409999
Ptyas mucosa,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Ptyas,mucosa,Y,L,U,Shubham Adhikari,"Pune, MH",MH,Deccan Peninsula,18.516726,73.86262,Facebook,,https://m.facebook.com/story.php?story_fbid=2142070952719246&id=100007490862897
Ptyas mucosa,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Ptyas,mucosa,N,L,U,Shubham Adhikari,"Pune, MH",MH,Deccan Peninsula,18.516726,73.86262,Instagram,,https://www.instagram.com/p/CNg68pFDwDf/
Ptyas mucosa,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Ptyas,mucosa,Y,L,U,Wall 1921,"Kil Kotagiri, TN",TN,Western Ghats,11.45162,76.92969,Literature,Reported by Kinlock,
Python molurus,Serpentes,Reptilia,Squamata (Serpentes),Pythonidae,Python,molurus,Y,L,HF,Avirat Shete,"Ranthambore, RJ",RJ,Semi-Arid,26.0357,76.475,Facebook,,https://www.facebook.com/groups/479765396323803/permalink/527678364865839
